Brand,Scarpe,Categoria,Prezzo reale,Prezzo scontato,In sconto,Dettaglio/Colore,Macro_categoria,Micro_categoria
G,Snake Original,Sneakers basse,109.9,109.9,False,military/dark grey,Sneakers,Sneakers basse
G,Avery,Sneakers basse,99.9,99.9,False,azul,Sneakers,Sneakers basse
G,Branthon A,Sneakers basse,99.9,99.9,False,dark blue,Sneakers,Sneakers basse
C,Torford Strap,Sandali,103.41,103.41,False,schwarz,Sandali,Sandali aperti
G,Coffee C,Stivaletti,119.9,83.95,True,,Stivali & Stivaletti,Stivaletti
C,Wallabee,Stringate sportive,149.99,111.99,True,maple stripe,Sneakers,Sneakers basse
G,Spherica Ecub,Sneakers basse,89.68,89.68,False,weiß,Sneakers,Sneakers basse
C,Blau,Sneakers basse,129.98,116.95,True,,Sneakers,Sneakers basse
G,Renan,Sneakers basse,119.9,119.9,False,navy,Sneakers,Sneakers basse
G,Avery,Sneakers basse,99.9,99.9,False,screziato-mottled black,Sneakers,Sneakers basse
G,Ochre Dark Coffee,Sneakers alte,127.9,127.9,False,,Sneakers,Sneakers alte
C,Wallabee,Stringate sportive,129.99,96.99,True,pale yellow,Sneakers,Sneakers basse
G,Rieti,Sneakers basse,99.99,99.99,False,verde,Sneakers,Sneakers basse
G,Brown Cotto/Black,Sneakers basse,134.95,134.95,False,,Sneakers,Sneakers basse
G,Spherica Actif,Sneakers basse,119.9,119.9,False,dove grey dark navy,Sneakers,Sneakers basse
G,Spherica Actif,Sneakers basse,119.9,119.9,False,dark avio black,Sneakers,Sneakers basse
G,Avery,Sneakers basse,99.9,99.9,False,verde,Sneakers,Sneakers basse
G,Spherica Ecub,Sneakers basse,139.9,139.9,False,musk,Sneakers,Sneakers basse
C,Wallabee,Stringate sportive,159.99,159.99,False,silver-coloured,Sneakers,Sneakers basse
G,Snake Original,Sneakers basse,129.98,103.95,True,brick,Sneakers,Sneakers basse
G,Klaiver,Sneakers basse,89.9,89.9,False,grün,Sneakers,Sneakers basse
G,Sneaker Gxrn,Sneakers basse,135.0,135.0,False,blau,Sneakers,Sneakers basse
G,Spherica Actif,Sneakers basse,119.9,119.9,False,bleu marine noir,Sneakers,Sneakers basse
G,Spherica Ec12,Sneakers basse,119.9,119.9,False,dove grey,Sneakers,Sneakers basse
G,Vittour Plus A,Sneakers basse,98.96,98.96,False,off white-sand (u659ka0ek14c0866),Sneakers,Sneakers basse
C,Wallabee,Stringate sportive,159.99,87.99,True,multi-coloured,Sneakers,Sneakers basse
